# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
119           	1.018431e+00	-1.282212e+01	-7.795471e+00	-2.879304e+00	-4.916167e+00
120           	1.010761e+00	-1.276967e+01	-7.799934e+00	-2.889206e+00	-4.910727e+00
121           	1.002953e+00	-1.271788e+01	-7.804362e+00	-2.899228e+00	-4.905134e+00
122           	9.950322e-01	-1.266673e+01	-7.808749e+00	-2.909342e+00	-4.899407e+00
123           	9.869906e-01	-1.261622e+01	-7.813166e+00	-2.919593e+00	-4.893574e+00
124           	9.788793e-01	-1.256632e+01	-7.817571e+00	-2.929906e+00	-4.887665e+00
125           	9.707679e-01	-1.251703e+01	-7.821908e+00	-2.940186e+00	-4.881722e+00
126           	9.626504e-01	-1.246832e+01	-7.826135e+00	-2.950417e+00	-4.875718e+00
127           	9.545695e-01	-1.242021e+01	-7.830192e+00	-2.960526e+00	-4.869665e+00
128           	9.464265e-01	-1.237266e+01	-7.834187e+00	-2.970667e+00	-4.863520e+00
129           	9.381848e-01	-1.232566e+01	-7.838154e+00	-2.980892e+00	-4.857262e+00
130           	9.298403e-01	-1.227922e+01	-7.842083e+00	-2.991201e+00	-4.850882e+00
131           	9.213811e-01	-1.223332e+01	-7.845968e+00	-3.001603e+00	-4.844365e+00
132           	9.127595e-01	-1.218794e+01	-7.849898e+00	-3.012190e+00	-4.837709e+00
133           	9.040009e-01	-1.214308e+01	-7.853896e+00	-3.022947e+00	-4.830949e+00
134           	8.952008e-01	-1.209873e+01	-7.857838e+00	-3.033718e+00	-4.824120e+00
135           	8.864248e-01	-1.205488e+01	-7.861644e+00	-3.044397e+00	-4.817247e+00
136           	8.776813e-01	-1.201152e+01	-7.865310e+00	-3.054974e+00	-4.810337e+00
137           	8.688881e-01	-1.196863e+01	-7.868925e+00	-3.065575e+00	-4.803351e+00
138           	8.600314e-01	-1.192622e+01	-7.872499e+00	-3.076218e+00	-4.796281e+00
139           	8.511070e-01	-1.188428e+01	-7.876040e+00	-3.086913e+00	-4.789127e+00
140           	8.421100e-01	-1.184279e+01	-7.879598e+00	-3.097689e+00	-4.781909e+00
141           	8.330387e-01	-1.180174e+01	-7.883109e+00	-3.108516e+00	-4.774593e+00
142           	8.238807e-01	-1.176114e+01	-7.886616e+00	-3.119427e+00	-4.767189e+00
143           	8.146201e-01	-1.172096e+01	-7.890162e+00	-3.130461e+00	-4.759701e+00
144           	8.053366e-01	-1.168121e+01	-7.893636e+00	-3.141481e+00	-4.752155e+00
145           	7.960107e-01	-1.164188e+01	-7.897023e+00	-3.152501e+00	-4.744522e+00
146           	7.866551e-01	-1.160296e+01	-7.900348e+00	-3.163519e+00	-4.736829e+00
147           	7.772621e-01	-1.156444e+01	-7.903667e+00	-3.174571e+00	-4.729095e+00
148           	7.678328e-01	-1.152631e+01	-7.906959e+00	-3.185647e+00	-4.721312e+00
149           	7.583658e-01	-1.148858e+01	-7.910185e+00	-3.196726e+00	-4.713458e+00
150           	7.488570e-01	-1.145123e+01	-7.913349e+00	-3.207817e+00	-4.705531e+00
151           	7.393004e-01	-1.141425e+01	-7.916456e+00	-3.218928e+00	-4.697529e+00
152           	7.297293e-01	-1.137765e+01	-7.919505e+00	-3.230023e+00	-4.689482e+00
153           	7.200975e-01	-1.134141e+01	-7.922593e+00	-3.241199e+00	-4.681394e+00
154           	7.103678e-01	-1.130552e+01	-7.925753e+00	-3.252509e+00	-4.673244e+00
155           	7.006150e-01	-1.126999e+01	-7.928937e+00	-3.263853e+00	-4.665084e+00
156           	6.908712e-01	-1.123481e+01	-7.932039e+00	-3.275148e+00	-4.656891e+00
157           	6.811208e-01	-1.119997e+01	-7.935046e+00	-3.286402e+00	-4.648644e+00
158           	6.713288e-01	-1.116546e+01	-7.937970e+00	-3.297656e+00	-4.640314e+00
159           	6.615016e-01	-1.113129e+01	-7.940828e+00	-3.308913e+00	-4.631916e+00
160           	6.516801e-01	-1.109744e+01	-7.943591e+00	-3.320115e+00	-4.623475e+00
161           	6.418403e-01	-1.106391e+01	-7.946288e+00	-3.331304e+00	-4.614984e+00
162           	6.319304e-01	-1.103070e+01	-7.949015e+00	-3.342577e+00	-4.606438e+00
163           	6.219451e-01	-1.099780e+01	-7.951852e+00	-3.353981e+00	-4.597871e+00
164           	6.118998e-01	-1.096520e+01	-7.954729e+00	-3.365465e+00	-4.589264e+00
165           	6.018147e-01	-1.093291e+01	-7.957606e+00	-3.376988e+00	-4.580618e+00
166           	5.917479e-01	-1.090091e+01	-7.960416e+00	-3.388460e+00	-4.571956e+00
167           	5.817095e-01	-1.086921e+01	-7.963143e+00	-3.399862e+00	-4.563281e+00
168           	5.717170e-01	-1.083779e+01	-7.965759e+00	-3.411163e+00	-4.554597e+00
169           	5.617649e-01	-1.080666e+01	-7.968270e+00	-3.422370e+00	-4.545900e+00
170           	5.518180e-01	-1.077581e+01	-7.970740e+00	-3.433552e+00	-4.537188e+00
171           	5.418163e-01	-1.074523e+01	-7.973208e+00	-3.444788e+00	-4.528421e+00
172           	5.317317e-01	-1.071493e+01	-7.975648e+00	-3.456092e+00	-4.519556e+00
173           	5.215847e-01	-1.068489e+01	-7.978086e+00	-3.467458e+00	-4.510628e+00
174           	5.113927e-01	-1.065511e+01	-7.980571e+00	-3.478893e+00	-4.501678e+00
175           	5.011680e-01	-1.062560e+01	-7.983085e+00	-3.490375e+00	-4.492711e+00
176           	4.909543e-01	-1.059635e+01	-7.985570e+00	-3.501831e+00	-4.483739e+00
177           	4.808342e-01	-1.056734e+01	-7.987928e+00	-3.513130e+00	-4.474798e+00
178           	4.707242e-01	-1.053859e+01	-7.990292e+00	-3.524422e+00	-4.465870e+00
179           	4.606051e-01	-1.051008e+01	-7.992633e+00	-3.535712e+00	-4.456922e+00
