# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
207           	-3.276445e+00	-1.117467e+01	-8.112491e+00	-7.332691e+00	-7.798004e-01
208           	-3.277538e+00	-1.114468e+01	-8.111852e+00	-7.333463e+00	-7.783883e-01
209           	-3.278574e+00	-1.111490e+01	-8.111202e+00	-7.334175e+00	-7.770266e-01
210           	-3.279610e+00	-1.108533e+01	-8.110607e+00	-7.334913e+00	-7.756936e-01
211           	-3.280708e+00	-1.105596e+01	-8.110135e+00	-7.335775e+00	-7.743597e-01
212           	-3.281767e+00	-1.102679e+01	-8.109610e+00	-7.336572e+00	-7.730384e-01
213           	-3.282782e+00	-1.099782e+01	-8.109010e+00	-7.337287e+00	-7.717225e-01
214           	-3.283763e+00	-1.096905e+01	-8.108450e+00	-7.337988e+00	-7.704621e-01
215           	-3.284703e+00	-1.094047e+01	-8.107912e+00	-7.338659e+00	-7.692530e-01
216           	-3.285596e+00	-1.091209e+01	-8.107370e+00	-7.339281e+00	-7.680889e-01
217           	-3.286437e+00	-1.088390e+01	-8.106793e+00	-7.339833e+00	-7.669597e-01
218           	-3.287233e+00	-1.085591e+01	-8.106183e+00	-7.340324e+00	-7.658589e-01
219           	-3.287979e+00	-1.082810e+01	-8.105567e+00	-7.340762e+00	-7.648049e-01
220           	-3.288688e+00	-1.080048e+01	-8.104934e+00	-7.341155e+00	-7.637787e-01
221           	-3.289476e+00	-1.077305e+01	-8.104430e+00	-7.341691e+00	-7.627388e-01
222           	-3.290167e+00	-1.074580e+01	-8.103865e+00	-7.342099e+00	-7.617656e-01
223           	-3.290780e+00	-1.071874e+01	-8.103247e+00	-7.342403e+00	-7.608436e-01
224           	-3.291335e+00	-1.069185e+01	-8.102594e+00	-7.342632e+00	-7.599619e-01
225           	-3.291840e+00	-1.066515e+01	-8.101915e+00	-7.342797e+00	-7.591181e-01
226           	-3.292297e+00	-1.063862e+01	-8.101219e+00	-7.342906e+00	-7.583126e-01
227           	-3.292706e+00	-1.061227e+01	-8.100507e+00	-7.342959e+00	-7.575478e-01
228           	-3.293073e+00	-1.058609e+01	-8.099789e+00	-7.342968e+00	-7.568211e-01
229           	-3.293404e+00	-1.056009e+01	-8.099069e+00	-7.342939e+00	-7.561301e-01
230           	-3.293927e+00	-1.053426e+01	-8.098600e+00	-7.343227e+00	-7.553730e-01
231           	-3.294303e+00	-1.050860e+01	-8.097890e+00	-7.343247e+00	-7.546425e-01
232           	-3.294608e+00	-1.048310e+01	-8.097138e+00	-7.343176e+00	-7.539614e-01
233           	-3.291328e+00	-1.045777e+01	-8.099805e+00	-7.341230e+00	-7.585749e-01
234           	-3.292018e+00	-1.043261e+01	-8.099040e+00	-7.341538e+00	-7.575022e-01
235           	-3.292516e+00	-1.040762e+01	-8.098290e+00	-7.341661e+00	-7.566286e-01
236           	-3.292784e+00	-1.038278e+01	-8.097410e+00	-7.341489e+00	-7.559214e-01
237           	-3.293030e+00	-1.035811e+01	-8.096612e+00	-7.341336e+00	-7.552764e-01
238           	-3.293233e+00	-1.033359e+01	-8.095819e+00	-7.341143e+00	-7.546762e-01
239           	-3.293492e+00	-1.030924e+01	-8.095123e+00	-7.341053e+00	-7.540699e-01
240           	-3.293747e+00	-1.028504e+01	-8.094465e+00	-7.340980e+00	-7.534853e-01
241           	-3.293924e+00	-1.026100e+01	-8.093755e+00	-7.340801e+00	-7.529533e-01
242           	-3.294132e+00	-1.023711e+01	-8.093114e+00	-7.340688e+00	-7.524253e-01
243           	-3.294335e+00	-1.021337e+01	-8.092504e+00	-7.340587e+00	-7.519166e-01
244           	-3.294497e+00	-1.018979e+01	-8.091881e+00	-7.340437e+00	-7.514432e-01
245           	-3.294711e+00	-1.016636e+01	-8.091350e+00	-7.340386e+00	-7.509641e-01
246           	-3.294913e+00	-1.014307e+01	-8.090852e+00	-7.340339e+00	-7.505130e-01
247           	-3.295273e+00	-1.011993e+01	-8.090560e+00	-7.340553e+00	-7.500064e-01
248           	-3.295643e+00	-1.009694e+01	-8.090311e+00	-7.340799e+00	-7.495125e-01
249           	-3.296016e+00	-1.007409e+01	-8.090100e+00	-7.341066e+00	-7.490340e-01
250           	-3.296366e+00	-1.005139e+01	-8.089824e+00	-7.341278e+00	-7.485465e-01
251           	-3.296701e+00	-1.002883e+01	-8.089547e+00	-7.341474e+00	-7.480729e-01
252           	-3.297035e+00	-1.000641e+01	-8.089338e+00	-7.341704e+00	-7.476343e-01
253           	-3.297370e+00	-9.984134e+00	-8.089171e+00	-7.341956e+00	-7.472153e-01
254           	-3.297702e+00	-9.961994e+00	-8.088978e+00	-7.342191e+00	-7.467869e-01
255           	-3.298032e+00	-9.939992e+00	-8.088766e+00	-7.342415e+00	-7.463512e-01
256           	-3.298365e+00	-9.918126e+00	-8.088585e+00	-7.342658e+00	-7.459275e-01
257           	-3.298758e+00	-9.896396e+00	-8.088494e+00	-7.343005e+00	-7.454891e-01
258           	-3.299271e+00	-9.874800e+00	-8.088559e+00	-7.343550e+00	-7.450086e-01
259           	-3.299814e+00	-9.853338e+00	-8.088677e+00	-7.344152e+00	-7.445246e-01
260           	-3.300318e+00	-9.832007e+00	-8.088804e+00	-7.344720e+00	-7.440845e-01
261           	-3.300808e+00	-9.810807e+00	-8.088885e+00	-7.345251e+00	-7.436347e-01
262           	-3.301299e+00	-9.789737e+00	-8.089089e+00	-7.345844e+00	-7.432454e-01
263           	-3.301775e+00	-9.768796e+00	-8.089292e+00	-7.346421e+00	-7.428716e-01
264           	-3.302240e+00	-9.747982e+00	-8.089533e+00	-7.347006e+00	-7.425272e-01
265           	-3.302694e+00	-9.727295e+00	-8.089846e+00	-7.347616e+00	-7.422291e-01
266           	-3.303140e+00	-9.706732e+00	-8.090141e+00	-7.348210e+00	-7.419306e-01
267           	-3.303620e+00	-9.686295e+00	-8.090386e+00	-7.348813e+00	-7.415733e-01
268           	-3.304088e+00	-9.665980e+00	-8.090709e+00	-7.349442e+00	-7.412666e-01
269           	-3.304554e+00	-9.645788e+00	-8.091073e+00	-7.350091e+00	-7.409824e-01
270           	-3.305073e+00	-9.625717e+00	-8.091467e+00	-7.350806e+00	-7.406603e-01
271           	-3.305545e+00	-9.605767e+00	-8.091805e+00	-7.351448e+00	-7.403572e-01
272           	-3.305982e+00	-9.585935e+00	-8.092179e+00	-7.352071e+00	-7.401076e-01
